Beta identity and maturity
INS
SLC2A2
RFX6
PDX1
CHL1
GCK
PPARGC1A
MDH1
NEUROD1
CREB1
G6PC2
PFKFB2
PFKM
SIX2
SIX3
ENTPD3
GPD2
DNMT3A
MTOR
